,Country,Xcoor,Ycoor
0,Nigeria,-85.0,44.0
1,Ethiopia,113.0,39.0
2,Egypt,50.0,146.0
3,Democratic Republic of the Congo,13.0,-31.0
4,South Africa,1.0,-215.0
5,Tanzania,89.0,-55.0
6,Kenya,107.0,-9.0
7,Algeria,-111.0,156.0
8,Uganda,74.0,-6.0
9,Sudan,52.0,91.0
10,Morocco,-162.0,183.0
11,Ghana,-139.0,34.0
12,Mozambique,85.0,-135.0
13,Ivory Coast,-168.0,29.0
14,Madagascar,153.0,-141.0
15,Angola,-28.0,-95.0
16,Cameroon,-58.0,12.0
17,Niger,-78.0,95.0
18,Burkina Faso,-141.0,64.0
19,Mali,-147.0,98.0
20,Malawi,80.0,-102.0
21,Zambia,26.0,-109.0
22,Senegal,-219.0,81.0
23,Zimbabwe,54.0,-137.0
24,Chad,-20.0,78.0
25,Guinea,-207.0,55.0
26,Tunisia,-62.0,204.0
27,Rwanda,60.0,-29.0
28,South Sudan,55.0,33.0
29,Benin,-114.0,47.0
30,Somalia,167.0,44.0
31,Burundi,59.0,-38.0
32,Togo,-124.0,38.0
33,Libya,-34.0,159.0
34,Sierra Leone,-205.0,37.0
35,Central African Republic,-10.0,28.0
36,Eritrea,107.0,85.0
37,Republic of the Congo,-37.0,-23.0
38,Liberia,-193.0,25.0
39,Mauritania,-195.0,106.0
40,Gabon,-63.0,-19.0
41,Namibia,-26.0,-155.0
42,Botswana,14.0,-153.0
43,Lesotho,41.0,-202.0
44,Equatorial Guinea,-67.0,-7.0
45,Gambia,-225.0,70.0
46,Guinea-Bissau,-225.0,59.0
47,Mauritius,197.0,-147.0
48,Swaziland,62.0,-183.0
49,Djibouti,136.0,59.0
50,Comoros,142.0,-93.0
51,Western Sahara,-205.0,140.0
52,Cape Verde,-240.0,75.0
53,Sao Tome and Principe,-95.0,-12.0
54,Seychelles,186.0,-72.0
